subject|body|topic
Collateralmanagement|"Hi all,
please find attached our OTC margin call.
 Please confirm your agreement/ disagreement with our calculations as soon as possible to the group address: Collateralmanagement@helaba.de"|Collateral Delivery
DEKA INVESTMENTS|"to DekaBank Deutsche Girozentrale. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
DEKA INVESTMENTS|"Please find attached:
Confirmation Letter from MFR F1 DI. to DekaBank Deutsche Girozentrale. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
Margin Recall|Hello, We fully agree with your call of EUR 6,300,000 We will return EUR cash 6,300,000 VD 17/9 Kind regards, Maria Castelo Centralized Collateral Management Unit (CCMU) To: OTC.COLLATERAL Subject: Margin Recall from DekaBank Deutsche Girozentrale to European Investment Bank (EIB) for EUR 6,300,000.00 Please find attached: Margin Recall from DekaBank Deutsche Girozentrale to European Investment Bank (EIB) for EUR 6,300,000.00 7147 3636 Please look at the following attachments  Les informations contenues dans ce message et/ou ses annexes sont reservees a l'attention et a l'utilisation de leur destinataire et peuvent etre confidentielles.|Margin Recall
EUR 1.970.000 VD 09/08/22|OTC Collateral Production OPC/CMO/Capital Market Transversal Phone +33 1 41 89 47 65 [EXTERNAL EMAIL] Margin Recall from DekaBank Deutsche Girozentrale to Credit Agricole CIB for EUR 2.000.000, 00 Please find attached: Margin Recall from DekaBank Deutsche Girozentrale to Credit Agricole CIB for EUR 2.000.000,00|Margin Recall
you are due to pay eur 85 # 63|jul 2022 to 31 jul 2022 inclusive, barclays is showing that barclay you are due to pay eur 85. 63. contact barclay # collateral interest team to confirm your agreement barclay replying to team email. best regards. barclays collateral management|Interest Payment
DEKA INVESTMENTS|"Please find attached:
Confirmation Letter from Juliusturm-Fonds Segment 3. to DekaBank Deutsche Girozentrale. This email has been sent by Juliusturm-Fonds Segment 3.
 AND THE ACCESS CODE IS THE FUND ID.

"|Exposure Return
binding nature of declarations of intent with obligatory content|collateral.mgt@nrwbank.de Kind regards, NRW.BANK Geschftsuntersttzung Processing 101-62110 D- 40188 EMail: Collateral.Mgt@nrwbank.de NRW.BANK Anstalt des ffentlichen Wir verweisen in diesem Zusammenhang auch auf die fr die Bank geltenden Regelungen ber die Verbindlichkeit von Willenserklrungen mit verpflichtendem Inhalt, die in den bankblichen Unterschriftenverzeichnissen bekannt gemacht werden.|Collateral Delivery
you are due to pay eur #. 63|jul 2022 to 31 2 2022 inclusive, barclays 2 showing that : you are due to pay eur 85. 63. contact barclay # collateral interest team to confirm your agreement by reply collateral to this email. best regards, barclays collateral management|Interest Payment
DekaBank Deutsche Girozentrale|"Please find attached:
Confirmation Letter from VWRA BB FONDS U03. AND THE ACCESS CODE IS THE FUND ID.

 Sollte Ihre Mail bzw."|Exposure Return
you are due to pay eu eu 85. 63|jul 2022 to 31 jul 2022 inclusive, barclays is showing that : you are s to pay eur 85. 63. contact barclays collateral interest team. confirm your agreement by # # s this email. best regards, barclays collateral management|Interest Payment
AA Margin call for valuation date 2022-08-12|"Subject: AA Margin call for valuation date 2022-08-12 DZHYP/DekaBank Deutsche Girozentrale
Dear Sir or Madam,
Please see below margin call for valuation date 2022-08-12
Party: DZHYP (DZHYP)
 Counterparty: DEKABANK (DekaBank Deutsche Girozentrale)
Agreement type: ISDA
Margin type: Reg VM
Base currency: EUR
MTA: 250,000
Rounding: 10000
Rounding convention: Up
Exposure: EUR 8.08 M
Threshold: EUR 0
Collateral: EUR 7,150,000

Call amount due to DZHYP: EUR 940,000
Kind regards/ Mit freundlichen"|Collateral Delivery
